code,region,month_no,year,marriage
643,Российская Федерация,1,2006,55509
643,Российская Федерация,1,2007,59495
643,Российская Федерация,1,2008,58668
643,Российская Федерация,1,2009,65507
643,Российская Федерация,1,2010,62980
643,Российская Федерация,1,2011,57949
643,Российская Федерация,1,2012,55008
643,Российская Федерация,1,2013,56123
643,Российская Федерация,1,2014,59291
643,Российская Федерация,1,2015,58050
643,Российская Федерация,1,2016,48523
643,Российская Федерация,1,2017,50940
643,Российская Федерация,1,2018,49005
643,Российская Федерация,1,2019,45259
643,Российская Федерация,1,2020,41233
643,Российская Федерация,2,2006,62449
643,Российская Федерация,2,2007,68255
643,Российская Федерация,2,2008,68195
643,Российская Федерация,2,2009,81024
643,Российская Федерация,2,2010,64855
643,Российская Федерация,2,2011,68897
643,Российская Федерация,2,2012,69384
643,Российская Федерация,2,2013,66604
643,Российская Федерация,2,2014,77817
643,Российская Федерация,2,2015,67918
643,Российская Федерация,2,2016,55748
643,Российская Федерация,2,2017,63581
643,Российская Федерация,2,2018,52972
643,Российская Федерация,2,2019,49792
643,Российская Федерация,2,2020,65799
643,Российская Федерация,3,2006,70798
643,Российская Федерация,3,2007,68173
643,Российская Федерация,3,2008,85275
643,Российская Федерация,3,2009,65250
643,Российская Федерация,3,2010,58124
643,Российская Федерация,3,2011,73713
643,Российская Федерация,3,2012,62912
643,Российская Федерация,3,2013,95343
643,Российская Федерация,3,2014,70717
643,Российская Федерация,3,2015,57537
643,Российская Федерация,3,2016,64867
643,Российская Федерация,3,2017,59183
643,Российская Федерация,3,2018,56637
643,Российская Федерация,3,2019,65253
643,Российская Федерация,3,2020,49667
643,Российская Федерация,4,2006,86055
643,Российская Федерация,4,2007,106800
643,Российская Федерация,4,2008,70528
643,Российская Федерация,4,2009,98242
643,Российская Федерация,4,2010,121953
643,Российская Федерация,4,2011,93631
643,Российская Федерация,4,2012,97401
643,Российская Федерация,4,2013,67605
643,Российская Федерация,4,2014,93571
643,Российская Федерация,4,2015,97256
643,Российская Федерация,4,2016,58968
643,Российская Федерация,4,2017,84361
643,Российская Федерация,4,2018,79258
643,Российская Федерация,4,2019,56818
643,Российская Федерация,4,2020,33787
643,Российская Федерация,5,2006,35960
643,Российская Федерация,5,2007,39331
643,Российская Федерация,5,2008,52634
643,Российская Федерация,5,2009,45622
643,Российская Федерация,5,2010,41339
643,Российская Федерация,5,2011,46364
643,Российская Федерация,5,2012,45128
643,Российская Федерация,5,2013,49712
643,Российская Федерация,5,2014,53922
643,Российская Федерация,5,2015,47687
643,Российская Федерация,5,2016,47334
643,Российская Федерация,5,2017,40851
643,Российская Федерация,5,2018,39756
643,Российская Федерация,5,2019,43531
643,Российская Федерация,5,2020,15074
643,Российская Федерация,6,2006,111409
643,Российская Федерация,6,2007,119012
643,Российская Федерация,6,2008,119283
643,Российская Федерация,6,2009,118230
643,Российская Федерация,6,2010,113994
643,Российская Федерация,6,2011,132709
643,Российская Федерация,6,2012,137667
643,Российская Федерация,6,2013,146512
643,Российская Федерация,6,2014,128954
643,Российская Федерация,6,2015,114524
643,Российская Федерация,6,2016,114936
643,Российская Федерация,6,2017,111901
643,Российская Федерация,6,2018,103451
643,Российская Федерация,6,2019,104709
643,Российская Федерация,6,2020,68408
643,Российская Федерация,7,2006,127475
643,Российская Федерация,7,2007,147253
643,Российская Федерация,7,2008,125496
643,Российская Федерация,7,2009,138227
643,Российская Федерация,7,2010,164233
643,Российская Федерация,7,2011,162556
643,Российская Федерация,7,2012,144355
643,Российская Федерация,7,2013,141354
643,Российская Федерация,7,2014,139684
643,Российская Федерация,7,2015,142572
643,Российская Федерация,7,2016,138733
643,Российская Федерация,7,2017,150368
643,Российская Федерация,7,2018,114416
643,Российская Федерация,7,2019,112845
643,Российская Федерация,7,2020,94393
643,Российская Федерация,8,2006,149120
643,Российская Федерация,8,2007,163630
643,Российская Федерация,8,2008,192591
643,Российская Федерация,8,2009,164684
643,Российская Федерация,8,2010,153402
643,Российская Федерация,8,2011,157766
643,Российская Федерация,8,2012,168085
643,Российская Федерация,8,2013,181745
643,Российская Федерация,8,2014,176269
643,Российская Федерация,8,2015,160667
643,Российская Федерация,8,2016,131756
643,Российская Федерация,8,2017,138775
643,Российская Федерация,8,2018,149966
643,Российская Федерация,8,2019,133217
643,Российская Федерация,8,2020,116921
643,Российская Федерация,9,2006,151116
643,Российская Федерация,9,2007,152696
643,Российская Федерация,9,2008,129196
643,Российская Федерация,9,2009,141188
643,Российская Федерация,9,2010,143937
643,Российская Федерация,9,2011,168510
643,Российская Федерация,9,2012,152328
643,Российская Федерация,9,2013,144512
643,Российская Федерация,9,2014,134342
643,Российская Федерация,9,2015,131936
643,Российская Федерация,9,2016,115462
643,Российская Федерация,9,2017,125720
643,Российская Федерация,9,2018,113178
643,Российская Федерация,9,2019,107033
643,Российская Федерация,9,2020,95794
643,Российская Федерация,10,2006,95192
643,Российская Федерация,10,2007,108414
643,Российская Федерация,10,2008,107600
643,Российская Федерация,10,2009,113820
643,Российская Федерация,10,2010,122144
643,Российская Федерация,10,2011,121711
643,Российская Федерация,10,2012,100937
643,Российская Федерация,10,2013,102743
643,Российская Федерация,10,2014,106211
643,Российская Федерация,10,2015,104838
643,Российская Федерация,10,2016,82752
643,Российская Федерация,10,2017,80249
643,Российская Федерация,10,2018,44413
643,Российская Федерация,10,2019,82727
643,Российская Федерация,10,2020,81188
643,Российская Федерация,11,2006,86480
643,Российская Федерация,11,2007,112961
643,Российская Федерация,11,2008,92839
643,Российская Федерация,11,2009,85295
643,Российская Федерация,11,2010,86570
643,Российская Федерация,11,2011,118181
643,Российская Федерация,11,2012,88892
643,Российская Федерация,11,2013,92859
643,Российская Федерация,11,2014,83880
643,Российская Федерация,11,2015,82151
643,Российская Федерация,11,2016,64092
643,Российская Федерация,11,2017,70951
643,Российская Федерация,11,2018,43870
643,Российская Федерация,11,2019,75722
643,Российская Федерация,11,2020,54375
643,Российская Федерация,12,2006,82101
643,Российская Федерация,12,2007,116561
643,Российская Федерация,12,2008,76409
643,Российская Федерация,12,2009,82351
643,Российская Федерация,12,2010,81559
643,Российская Федерация,12,2011,114122
643,Российская Федерация,12,2012,91519
643,Российская Федерация,12,2013,80145
643,Российская Федерация,12,2014,80742
643,Российская Федерация,12,2015,95908
643,Российская Федерация,12,2016,62663
643,Российская Федерация,12,2017,72845
643,Российская Федерация,12,2018,47252
